feature,importance
cat__Location (front/rear seat/inside front shield)_inside front shield ,0.6742420033677416
cat__Location (front/rear seat/inside front shield)_back ,0.1667015774619529
cat__Location (front/rear seat/inside front shield)_front ,0.1590564191703055
cat__Area description (Traffic and road conditions)_little to no traffic,0.0
num__Speed,0.0
