feature,importance
cat__Location (front/rear seat/inside front shield)_inside front shield,0.8692154544705798
cat__Location (front/rear seat/inside front shield)_back,0.09441969225375973
cat__Location (front/rear seat/inside front shield)_front,0.03636485327566051
cat__Frequency_1HZ,0.0
num__Speed,0.0
