feature,importance
cat__Location (front/rear seat/inside front shield)_back,0.3908522450422312
cat__Location (front/rear seat/inside front shield)_front,0.3845485706615113
cat__Location (front/rear seat/inside front shield)_inside front shield,0.22459918429625747
cat__Frequency_1HZ,0.0
num__Speed,0.0
