feature,importance
cat__Location (front/rear seat/inside front shield)_front ,0.8970155146596991
cat__Location (front/rear seat/inside front shield)_back ,0.05598709507429359
cat__Location (front/rear seat/inside front shield)_inside front shield ,0.04699739026600725
cat__Area description (Traffic and road conditions)_regional road with modarated traffic,0.0
